batch_id,packlina_id,produkt,antal_påsar,antal_godkända,antal_kasserade,starttid,sluttid,status
B0001,Packlina 3,Smofkabiven,2970,2903,67,2025-01-02 10:41,2025-01-02 18:41,Avslutad
B0002,Packlina 3,Smofkabiven,2219,2201,18,2025-02-07 13:12,2025-02-07 19:12,Avslutad
B0003,Packlina 1,Kabiven,7557,7495,62,2025-02-15 17:05,2025-02-16 08:05,Avslutad
B0004,Packlina 1,Kabiven,3231,3205,26,2025-02-14 13:12,2025-02-14 23:12,Avslutad
B0005,Packlina 1,Smofkabiven,10575,10476,99,2025-01-25 07:39,2025-01-25 17:39,Avslutad
B0006,Packlina 2,Smofkabiven,10983,10771,212,2025-01-25 07:20,2025-01-25 19:20,Avslutad
B0007,Packlina 3,Kabiven,5425,5264,161,2025-02-15 07:11,2025-02-15 14:11,Avslutad
B0008,Packlina 1,Aminoven,3348,3307,41,2025-01-18 13:44,2025-01-19 02:44,Avslutad
B0009,Packlina 2,Smofkabiven,4694,4663,31,2025-02-08 16:50,2025-02-09 03:50,Avslutad
B0010,Packlina 3,Kabiven,4436,4325,111,2025-02-13 11:32,2025-02-13 23:32,Avslutad
B0011,Packlina 2,Smoflipid,4167,4082,85,2025-01-05 09:36,2025-01-05 21:36,Avslutad
B0012,Packlina 3,Aminoven,9881,9712,169,2025-01-10 10:31,2025-01-10 18:31,Avslutad
B0013,Packlina 2,Aminoven,8769,8729,40,2025-01-24 09:44,2025-01-24 20:44,Avslutad
B0014,Packlina 1,Kabiven,10455,10415,40,2025-02-10 08:43,2025-02-10 23:43,Avslutad
B0015,Packlina 2,Smoflipid,11853,11536,317,2025-02-05 06:11,2025-02-05 17:11,Avslutad
B0016,Packlina 3,Smoflipid,8117,8100,17,2025-01-08 11:00,2025-01-08 21:00,Avslutad
B0017,Packlina 3,Smoflipid,10928,10815,113,2025-02-02 09:02,2025-02-02 19:02,Avslutad
B0018,Packlina 3,Kabiven,9521,9248,273,2025-01-10 12:22,2025-01-11 01:22,Dumpad
B0019,Packlina 1,Smoflipid,5722,5672,50,2025-02-01 06:19,2025-02-01 14:19,Avslutad
B0020,Packlina 3,Smofkabiven,9411,9190,221,2025-01-06 14:17,2025-01-07 02:17,Avslutad
B0021,Packlina 2,Kabiven,7616,7395,221,2025-01-17 15:00,2025-01-18 07:00,Dumpad
B0022,Packlina 3,Kabiven,7861,7647,214,2025-02-15 11:19,2025-02-15 22:19,Avslutad
B0023,Packlina 1,Kabiven,9759,9677,82,2025-01-05 11:46,2025-01-05 21:46,Avslutad
B0024,Packlina 1,Smofkabiven,1844,1814,30,2025-01-15 07:09,2025-01-15 15:09,Avslutad
B0025,Packlina 2,Kabiven,10124,9970,154,2025-02-04 08:15,2025-02-04 23:15,Avslutad
B0026,Packlina 2,Kabiven,6488,6398,90,2025-01-07 07:39,2025-01-07 21:39,Avslutad
B0027,Packlina 3,Smofkabiven,1677,1655,22,2025-02-13 17:09,2025-02-14 04:09,Avslutad
B0028,Packlina 1,Kabiven,2980,2939,41,2025-01-13 09:14,2025-01-13 22:14,Avslutad
B0029,Packlina 1,Smofkabiven,11368,11027,341,2025-01-29 15:23,2025-01-29 21:23,Avslutad
B0030,Packlina 1,Kabiven,4186,4076,110,2025-01-11 12:56,2025-01-12 00:56,Avslutad
B0031,Packlina 1,Aminoven,5357,5283,74,2025-01-01 12:39,2025-01-01 23:39,Dumpad
B0032,Packlina 3,Aminoven,1642,1612,30,2025-01-10 09:14,2025-01-10 18:14,Avslutad
B0033,Packlina 3,Smoflipid,8922,8674,248,2025-01-04 06:51,2025-01-04 19:51,Avslutad
B0034,Packlina 1,Smofkabiven,11746,11439,307,2025-01-12 07:10,2025-01-12 17:10,Avslutad
B0035,Packlina 3,Kabiven,2027,1999,28,2025-02-07 16:08,2025-02-08 02:08,Avslutad
B0036,Packlina 3,Smoflipid,4594,4551,43,2025-01-17 09:29,2025-01-17 22:29,Avslutad
B0037,Packlina 3,Smoflipid,836,824,12,2025-01-30 11:23,2025-01-30 23:23,Dumpad
B0038,Packlina 1,Smofkabiven,2854,2774,80,2025-02-04 09:38,2025-02-04 21:38,Avslutad
B0039,Packlina 1,Smoflipid,5640,5532,108,2025-01-19 08:41,2025-01-19 21:41,Dumpad
