batch_id,packlina_id,produkt,antal_påsar,antal_godkända,antal_kasserade,starttid,sluttid,status
B0018,Packlina 3,Kabiven,9521,9248,273,2025-01-10 12:22,2025-01-11 01:22,Dumpad
B0021,Packlina 2,Kabiven,7616,7395,221,2025-01-17 15:00,2025-01-18 07:00,Dumpad
B0031,Packlina 1,Aminoven,5357,5283,74,2025-01-01 12:39,2025-01-01 23:39,Dumpad
B0037,Packlina 3,Smoflipid,836,824,12,2025-01-30 11:23,2025-01-30 23:23,Dumpad
B0039,Packlina 1,Smoflipid,5640,5532,108,2025-01-19 08:41,2025-01-19 21:41,Dumpad
B0053,Packlina 2,Smofkabiven,6651,6557,94,2025-02-03 15:11,2025-02-04 03:11,Dumpad
B0062,Packlina 1,Aminoven,9841,9657,184,2025-01-09 13:55,2025-01-10 04:55,Dumpad
B0067,Packlina 2,Aminoven,6916,6810,106,2025-02-07 17:52,2025-02-08 03:52,Dumpad
B0075,Packlina 1,Aminoven,3433,3368,65,2025-02-14 10:22,2025-02-15 00:22,Dumpad
B0084,Packlina 2,Smoflipid,9790,9768,22,2025-01-18 16:10,2025-01-19 05:10,Dumpad
B0090,Packlina 2,Kabiven,2757,2730,27,2025-01-20 06:14,2025-01-20 21:14,Dumpad
B0098,Packlina 1,Smoflipid,1850,1811,39,2025-02-15 10:49,2025-02-16 00:49,Dumpad
B0111,Packlina 1,Aminoven,7491,7301,190,2025-02-15 10:58,2025-02-15 22:58,Dumpad
B0118,Packlina 2,Smofkabiven,7401,7206,195,2025-02-03 13:47,2025-02-03 20:47,Dumpad
B0125,Packlina 3,Smofkabiven,3272,3259,13,2025-01-30 10:54,2025-01-31 01:54,Dumpad
B0127,Packlina 2,Aminoven,6565,6446,119,2025-01-07 10:02,2025-01-07 23:02,Dumpad
B0133,Packlina 1,Aminoven,11764,11502,262,2025-01-05 08:24,2025-01-05 21:24,Dumpad
