kontroll_id,batch_id,kontroll_typ,utfall,kommentar,tidsstämpel
K00001,B0001,Syning,Godkänd,,2025-01-02 12:09
K00002,B0001,Hanteringsetiketter,Godkänd,,2025-01-02 13:07
K00003,B0001,Hanteringsetiketter,Godkänd,,2025-01-02 15:03
K00004,B0002,Hanteringsetiketter,Godkänd,,2025-02-07 16:22
K00005,B0003,Syning,Godkänd,,2025-02-15 23:58
K00006,B0003,Syning,Godkänd,,2025-02-16 01:40
K00007,B0004,Hanteringsetiketter,Godkänd,,2025-02-14 15:17
K00008,B0005,Syning,Godkänd,,2025-01-25 14:30
K00009,B0005,Syning,Godkänd,,2025-01-25 13:46
K00010,B0005,Syning,Underkänd,Partikel i lösning,2025-01-25 15:22
K00011,B0006,Syning,Godkänd,,2025-01-25 13:50
K00012,B0006,Syning,Godkänd,,2025-01-25 11:27
K00013,B0007,Hanteringsetiketter,Godkänd,,2025-02-15 08:36
K00014,B0008,Hanteringsetiketter,Godkänd,,2025-01-18 16:11
K00015,B0008,Syning,Godkänd,,2025-01-18 21:33
K00016,B0009,Syning,Godkänd,,2025-02-08 21:53
K00017,B0009,Hanteringsetiketter,Godkänd,,2025-02-08 22:36
K00018,B0009,Syning,Godkänd,,2025-02-08 20:25
K00019,B0010,Syning,Godkänd,,2025-02-13 13:13
K00020,B0010,Syning,Godkänd,,2025-02-13 12:33
K00021,B0011,Hanteringsetiketter,Godkänd,,2025-01-05 16:31
K00022,B0012,Hanteringsetiketter,Godkänd,,2025-01-10 14:10
K00023,B0013,Syning,Underkänd,Hål ytterpåse,2025-01-24 20:24
K00024,B0013,Syning,Godkänd,,2025-01-24 12:55
K00025,B0013,Hanteringsetiketter,Godkänd,,2025-01-24 14:52
K00026,B0014,Hanteringsetiketter,Godkänd,,2025-02-10 19:34
K00027,B0014,Syning,Godkänd,,2025-02-10 12:53
K00028,B0015,Hanteringsetiketter,Godkänd,,2025-02-05 11:31
K00029,B0016,Syning,Godkänd,,2025-01-08 12:16
K00030,B0016,Syning,Godkänd,,2025-01-08 12:26
K00031,B0017,Hanteringsetiketter,Godkänd,,2025-02-02 11:52
K00032,B0018,Hanteringsetiketter,Godkänd,,2025-01-10 12:59
K00033,B0019,Hanteringsetiketter,Godkänd,,2025-02-01 07:55
K00034,B0020,Hanteringsetiketter,Godkänd,,2025-01-06 23:19
K00035,B0021,Hanteringsetiketter,Godkänd,,2025-01-17 16:13
K00036,B0021,Hanteringsetiketter,Godkänd,,2025-01-17 16:49
K00037,B0021,Hanteringsetiketter,Godkänd,,2025-01-18 01:17
K00038,B0022,Syning,Godkänd,,2025-02-15 16:45
K00039,B0022,Syning,Godkänd,,2025-02-15 17:21
K00040,B0023,Hanteringsetiketter,Godkänd,,2025-01-05 20:07
K00041,B0023,Syning,Godkänd,,2025-01-05 14:04
K00042,B0023,Syning,Godkänd,,2025-01-05 19:06
K00043,B0024,Hanteringsetiketter,Godkänd,,2025-01-15 14:00
K00044,B0024,Syning,Godkänd,,2025-01-15 14:17
K00045,B0025,Syning,Underkänd,Läckage,2025-02-04 10:41
K00046,B0025,Syning,Godkänd,,2025-02-04 14:44
K00047,B0025,Hanteringsetiketter,Godkänd,,2025-02-04 11:14
K00048,B0026,Syning,Godkänd,,2025-01-07 10:45
K00049,B0026,Hanteringsetiketter,Godkänd,,2025-01-07 21:20
K00050,B0026,Hanteringsetiketter,Godkänd,,2025-01-07 17:46
K00051,B0027,Hanteringsetiketter,Godkänd,,2025-02-13 23:09
K00052,B0027,Hanteringsetiketter,Godkänd,,2025-02-13 18:48
K00053,B0027,Hanteringsetiketter,Godkänd,,2025-02-13 22:49
K00054,B0028,Syning,Godkänd,,2025-01-13 18:23
K00055,B0028,Syning,Godkänd,,2025-01-13 17:26
K00056,B0029,Syning,Godkänd,,2025-01-29 16:32
K00057,B0029,Hanteringsetiketter,Godkänd,,2025-01-29 20:12
K00058,B0030,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-11 14:08
K00059,B0030,Hanteringsetiketter,Godkänd,,2025-01-11 18:55
K00060,B0030,Hanteringsetiketter,Godkänd,,2025-01-11 14:29
K00061,B0031,Syning,Godkänd,,2025-01-01 14:35
K00062,B0031,Hanteringsetiketter,Godkänd,,2025-01-01 20:37
K00063,B0032,Hanteringsetiketter,Godkänd,,2025-01-10 11:05
K00064,B0032,Hanteringsetiketter,Godkänd,,2025-01-10 12:08
K00065,B0032,Syning,Godkänd,,2025-01-10 12:37
K00066,B0033,Syning,Godkänd,,2025-01-04 13:03
K00067,B0033,Hanteringsetiketter,Godkänd,,2025-01-04 16:52
K00068,B0033,Syning,Godkänd,,2025-01-04 18:33
K00069,B0034,Hanteringsetiketter,Godkänd,,2025-01-12 10:04
K00070,B0034,Syning,Godkänd,,2025-01-12 14:21
K00071,B0034,Hanteringsetiketter,Godkänd,,2025-01-12 09:06
K00072,B0035,Syning,Godkänd,,2025-02-07 22:14
K00073,B0035,Syning,Godkänd,,2025-02-08 01:37
K00074,B0035,Hanteringsetiketter,Godkänd,,2025-02-07 23:51
K00075,B0036,Syning,Godkänd,,2025-01-17 13:03
K00076,B0036,Syning,Godkänd,,2025-01-17 18:16
K00077,B0037,Syning,Godkänd,,2025-01-30 14:31
K00078,B0038,Syning,Godkänd,,2025-02-04 18:47
K00079,B0039,Hanteringsetiketter,Godkänd,,2025-01-19 11:25
K00080,B0039,Syning,Godkänd,,2025-01-19 12:16
K00081,B0039,Hanteringsetiketter,Godkänd,,2025-01-19 09:55
K00082,B0040,Hanteringsetiketter,Godkänd,,2025-02-12 17:58
K00083,B0040,Hanteringsetiketter,Godkänd,,2025-02-12 22:22
K00084,B0040,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-02-12 17:59
K00085,B0041,Hanteringsetiketter,Godkänd,,2025-01-18 17:34
K00086,B0042,Hanteringsetiketter,Godkänd,,2025-01-17 14:00
K00087,B0042,Syning,Godkänd,,2025-01-17 10:56
K00088,B0043,Hanteringsetiketter,Godkänd,,2025-01-11 16:23
K00089,B0043,Hanteringsetiketter,Godkänd,,2025-01-11 22:14
K00090,B0043,Syning,Godkänd,,2025-01-11 15:47
K00091,B0044,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-02-04 11:45
K00092,B0045,Syning,Godkänd,,2025-01-24 07:56
K00093,B0045,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-24 14:42
K00094,B0046,Hanteringsetiketter,Godkänd,,2025-02-09 12:30
K00095,B0047,Syning,Godkänd,,2025-01-28 00:18
K00096,B0048,Syning,Godkänd,,2025-01-31 16:00
K00097,B0049,Syning,Godkänd,,2025-01-03 01:48
K00098,B0049,Hanteringsetiketter,Godkänd,,2025-01-03 01:45
K00099,B0050,Hanteringsetiketter,Godkänd,,2025-02-11 15:30
K00100,B0051,Hanteringsetiketter,Godkänd,,2025-02-07 15:41
K00101,B0052,Hanteringsetiketter,Godkänd,,2025-02-08 17:14
