lager_id,batch_id,antal_lådor,inlagd_tid,lagringsplats
L00001,B0001,290,2025-01-03 02:41,HYLLA-B3
L00002,B0002,220,2025-02-08 02:12,HYLLA-C2
L00003,B0003,681,2025-02-16 13:05,PALLET-D4
L00004,B0004,291,2025-02-15 05:12,HYLLA-C2
L00005,B0005,873,2025-01-25 23:39,PALLET-D4
L00006,B0006,1077,2025-01-26 03:20,PALLET-D4
L00007,B0007,526,2025-02-15 20:11,HYLLA-C2
L00008,B0008,300,2025-01-19 08:44,HYLLA-A1
L00009,B0009,388,2025-02-09 07:50,HYLLA-B3
L00010,B0010,393,2025-02-14 00:32,PALLET-D4
L00011,B0011,408,2025-01-06 02:36,HYLLA-B3
L00012,B0012,971,2025-01-11 00:31,PALLET-D4
L00013,B0013,793,2025-01-25 00:44,HYLLA-C2
L00014,B0014,946,2025-02-11 04:43,PALLET-D4
L00015,B0015,1153,2025-02-06 01:11,HYLLA-C2
L00016,B0016,810,2025-01-09 00:00,PALLET-D4
L00017,B0017,901,2025-02-02 22:02,HYLLA-A1
L00018,B0019,567,2025-02-01 15:19,HYLLA-A1
L00019,B0020,835,2025-01-07 03:17,HYLLA-B3
L00020,B0022,764,2025-02-16 02:19,HYLLA-B3
L00021,B0023,967,2025-01-05 22:46,PALLET-D4
L00022,B0024,181,2025-01-15 21:09,PALLET-D4
L00023,B0025,997,2025-02-05 07:15,HYLLA-A1
L00024,B0026,639,2025-01-08 04:39,HYLLA-A1
L00025,B0027,137,2025-02-14 09:09,HYLLA-C2
L00026,B0028,244,2025-01-13 23:14,PALLET-D4
L00027,B0029,1102,2025-01-30 00:23,HYLLA-A1
L00028,B0030,407,2025-01-12 03:56,HYLLA-B3
L00029,B0032,146,2025-01-10 23:14,HYLLA-C2
L00030,B0033,867,2025-01-05 02:51,HYLLA-C2
L00031,B0034,1039,2025-01-13 00:10,HYLLA-B3
L00032,B0035,181,2025-02-08 06:08,HYLLA-A1
L00033,B0036,455,2025-01-17 23:29,PALLET-D4
L00034,B0038,252,2025-02-05 04:38,PALLET-D4
L00035,B0040,238,2025-02-13 00:27,HYLLA-A1
L00036,B0041,625,2025-01-19 00:48,PALLET-D4
L00037,B0042,433,2025-01-17 22:52,HYLLA-C2
L00038,B0043,820,2025-01-12 04:32,HYLLA-A1
L00039,B0044,1004,2025-02-05 00:36,PALLET-D4
L00040,B0045,1175,2025-01-24 20:40,HYLLA-A1
L00041,B0046,290,2025-02-09 21:38,HYLLA-A1
L00042,B0047,456,2025-01-28 09:25,HYLLA-A1
L00043,B0048,528,2025-01-31 23:47,HYLLA-B3
L00044,B0049,600,2025-01-03 10:15,HYLLA-C2
L00045,B0050,494,2025-02-12 06:41,HYLLA-B3
L00046,B0051,859,2025-02-07 23:31,HYLLA-C2
L00047,B0052,838,2025-02-09 06:43,HYLLA-B3
L00048,B0054,741,2025-02-12 23:07,HYLLA-C2
L00049,B0055,1125,2025-02-05 19:10,PALLET-D4
L00050,B0056,560,2025-01-27 07:21,HYLLA-C2
L00051,B0057,811,2025-01-31 06:32,HYLLA-A1
L00052,B0058,1030,2025-02-13 00:26,PALLET-D4
L00053,B0059,129,2025-01-15 20:23,PALLET-D4
L00054,B0060,686,2025-01-28 10:44,PALLET-D4
L00055,B0061,752,2025-01-07 23:15,HYLLA-C2
L00056,B0063,665,2025-02-06 03:36,HYLLA-A1
L00057,B0064,464,2025-02-04 04:16,HYLLA-B3
L00058,B0065,244,2025-01-23 04:27,HYLLA-B3
L00059,B0066,857,2025-01-06 07:04,HYLLA-C2
L00060,B0068,1028,2025-01-28 08:11,HYLLA-A1
L00061,B0069,1036,2025-02-01 22:29,HYLLA-C2
L00062,B0070,700,2025-01-10 07:37,HYLLA-B3
L00063,B0071,488,2025-01-09 22:52,PALLET-D4
L00064,B0072,391,2025-01-26 09:44,PALLET-D4
L00065,B0073,1132,2025-01-23 22:49,HYLLA-A1
L00066,B0074,225,2025-01-03 06:36,HYLLA-A1
L00067,B0076,97,2025-01-12 03:18,HYLLA-A1
L00068,B0077,1063,2025-02-16 00:23,PALLET-D4
L00069,B0078,809,2025-02-14 06:14,HYLLA-B3
L00070,B0079,72,2025-01-06 06:38,PALLET-D4
L00071,B0080,314,2025-01-25 10:50,HYLLA-C2
L00072,B0081,743,2025-02-10 11:11,PALLET-D4
L00073,B0082,457,2025-01-16 21:28,HYLLA-B3
L00074,B0083,327,2025-01-23 00:29,PALLET-D4
L00075,B0085,1074,2025-01-28 06:20,HYLLA-A1
L00076,B0086,420,2025-01-07 03:01,HYLLA-B3
L00077,B0087,670,2025-01-29 09:23,HYLLA-B3
L00078,B0088,1190,2025-01-22 07:02,HYLLA-B3
L00079,B0089,227,2025-02-08 07:57,PALLET-D4
L00080,B0091,191,2025-02-15 04:09,PALLET-D4
L00081,B0092,425,2025-01-30 00:48,HYLLA-C2
L00082,B0093,262,2025-02-02 00:15,HYLLA-B3
L00083,B0094,947,2025-01-17 02:01,HYLLA-B3
L00084,B0095,693,2025-01-30 09:33,HYLLA-B3
L00085,B0096,1041,2025-01-15 08:40,HYLLA-C2
L00086,B0097,979,2025-01-12 02:02,HYLLA-B3
L00087,B0099,1020,2025-01-29 00:57,HYLLA-C2
L00088,B0100,926,2025-01-05 05:49,HYLLA-A1
L00089,B0101,589,2025-01-09 06:59,HYLLA-B3
L00090,B0102,487,2025-01-07 02:12,PALLET-D4
L00091,B0103,318,2025-02-14 00:35,HYLLA-C2
L00092,B0104,195,2025-02-08 05:26,PALLET-D4
L00093,B0105,441,2025-01-12 02:37,HYLLA-C2
L00094,B0106,540,2025-01-30 21:30,HYLLA-B3
L00095,B0107,141,2025-02-13 10:15,HYLLA-A1
L00096,B0108,229,2025-01-05 05:28,PALLET-D4
L00097,B0109,375,2025-01-09 04:29,PALLET-D4
L00098,B0110,728,2025-01-06 22:50,HYLLA-A1
L00099,B0112,1033,2025-02-05 20:28,HYLLA-C2
L00100,B0113,411,2025-01-28 06:48,HYLLA-A1
L00101,B0114,569,2025-01-11 09:37,PALLET-D4
L00102,B0115,992,2025-01-21 23:13,HYLLA-A1
L00103,B0116,680,2025-01-22 09:04,HYLLA-B3
L00104,B0117,930,2025-02-02 01:37,PALLET-D4
L00105,B0119,940,2025-01-18 08:46,HYLLA-B3
L00106,B0120,951,2025-01-22 12:41,PALLET-D4
L00107,B0121,984,2025-01-15 18:32,PALLET-D4
L00108,B0122,542,2025-01-02 16:47,HYLLA-B3
L00109,B0123,313,2025-02-07 12:38,HYLLA-C2
L00110,B0124,807,2025-02-02 07:57,PALLET-D4
L00111,B0126,723,2025-02-11 08:14,HYLLA-A1
L00112,B0128,807,2025-02-13 04:45,PALLET-D4
L00113,B0129,418,2025-01-20 03:55,HYLLA-C2
L00114,B0130,467,2025-02-10 19:39,HYLLA-A1
L00115,B0131,321,2025-01-06 23:02,HYLLA-A1
L00116,B0132,449,2025-01-12 04:23,HYLLA-B3
L00117,B0134,785,2025-01-06 23:44,HYLLA-B3
L00118,B0135,200,2025-02-08 08:30,PALLET-D4
L00119,B0136,1081,2025-02-10 04:46,PALLET-D4
L00120,B0137,550,2025-01-08 17:23,PALLET-D4
L00121,B0138,741,2025-01-26 08:44,HYLLA-B3
L00122,B0139,99,2025-02-02 11:30,PALLET-D4
L00123,B0140,934,2025-01-25 03:41,HYLLA-B3
L00124,B0141,194,2025-01-18 22:14,HYLLA-A1
L00125,B0142,821,2025-01-04 21:41,HYLLA-B3
L00126,B0143,538,2025-02-08 04:41,HYLLA-B3
L00127,B0144,467,2025-01-19 03:28,HYLLA-C2
L00128,B0145,851,2025-01-02 09:06,HYLLA-C2
L00129,B0146,696,2025-01-28 03:58,PALLET-D4
L00130,B0147,123,2025-01-30 03:35,HYLLA-C2
L00131,B0148,692,2025-01-31 06:58,HYLLA-B3
L00132,B0149,487,2025-02-16 00:34,HYLLA-A1
L00133,B0150,726,2025-01-26 07:11,HYLLA-A1
