stopp_id,batch_id,packlina_id,stopp_typ,starttid,sluttid,stopp_minuter
S00001,B0003,Packlina 1,Urlastare,2025-02-15 21:25,2025-02-15 21:44,19
S00002,B0003,Packlina 1,Väntar på påsar,2025-02-16 05:49,2025-02-16 06:00,11
S00003,B0004,Packlina 1,Väntar på påsar,2025-02-14 20:34,2025-02-14 20:41,7
S00004,B0004,Packlina 1,Urlastare,2025-02-14 14:57,2025-02-14 15:15,18
S00005,B0004,Packlina 1,Väntar på påsar,2025-02-14 21:59,2025-02-14 22:42,43
S00006,B0004,Packlina 1,Sammanräkning,2025-02-14 22:56,2025-02-14 23:12,16
S00007,B0005,Packlina 1,Lådresare,2025-01-25 15:28,2025-01-25 16:10,42
S00008,B0007,Packlina 3,Lådresare,2025-02-15 13:18,2025-02-15 13:50,32
S00009,B0008,Packlina 1,Lådresare,2025-01-18 16:33,2025-01-18 16:51,18
S00010,B0008,Packlina 1,Sammanräkning,2025-01-18 15:38,2025-01-18 15:48,10
S00011,B0010,Packlina 3,Lådresare,2025-02-13 17:34,2025-02-13 18:17,43
S00012,B0010,Packlina 3,Väntar på påsar,2025-02-13 12:26,2025-02-13 13:00,34
S00013,B0011,Packlina 2,Lådresare,2025-01-05 11:06,2025-01-05 11:46,40
S00014,B0011,Packlina 2,Lådresare,2025-01-05 20:29,2025-01-05 21:13,44
S00015,B0011,Packlina 2,Väntar på påsar,2025-01-05 19:37,2025-01-05 19:54,17
S00016,B0013,Packlina 2,Urlastare,2025-01-24 14:50,2025-01-24 15:00,10
S00017,B0015,Packlina 2,Lådresare,2025-02-05 11:05,2025-02-05 11:39,34
S00018,B0015,Packlina 2,Lådresare,2025-02-05 09:07,2025-02-05 09:35,28
S00019,B0015,Packlina 2,Väntar på påsar,2025-02-05 09:55,2025-02-05 10:17,22
S00020,B0016,Packlina 3,Urlastare,2025-01-08 14:05,2025-01-08 14:44,39
