2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0018, produkt=Kabiven, packlina=Packlina 3, start=2025-01-10 12:22, slut=2025-01-11 01:22, kasserade=273
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0021, produkt=Kabiven, packlina=Packlina 2, start=2025-01-17 15:00, slut=2025-01-18 07:00, kasserade=221
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0031, produkt=Aminoven, packlina=Packlina 1, start=2025-01-01 12:39, slut=2025-01-01 23:39, kasserade=74
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0037, produkt=Smoflipid, packlina=Packlina 3, start=2025-01-30 11:23, slut=2025-01-30 23:23, kasserade=12
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0039, produkt=Smoflipid, packlina=Packlina 1, start=2025-01-19 08:41, slut=2025-01-19 21:41, kasserade=108
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0053, produkt=Smofkabiven, packlina=Packlina 2, start=2025-02-03 15:11, slut=2025-02-04 03:11, kasserade=94
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0062, produkt=Aminoven, packlina=Packlina 1, start=2025-01-09 13:55, slut=2025-01-10 04:55, kasserade=184
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0067, produkt=Aminoven, packlina=Packlina 2, start=2025-02-07 17:52, slut=2025-02-08 03:52, kasserade=106
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0075, produkt=Aminoven, packlina=Packlina 1, start=2025-02-14 10:22, slut=2025-02-15 00:22, kasserade=65
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0084, produkt=Smoflipid, packlina=Packlina 2, start=2025-01-18 16:10, slut=2025-01-19 05:10, kasserade=22
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0090, produkt=Kabiven, packlina=Packlina 2, start=2025-01-20 06:14, slut=2025-01-20 21:14, kasserade=27
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0098, produkt=Smoflipid, packlina=Packlina 1, start=2025-02-15 10:49, slut=2025-02-16 00:49, kasserade=39
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0111, produkt=Aminoven, packlina=Packlina 1, start=2025-02-15 10:58, slut=2025-02-15 22:58, kasserade=190
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0118, produkt=Smofkabiven, packlina=Packlina 2, start=2025-02-03 13:47, slut=2025-02-03 20:47, kasserade=195
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0125, produkt=Smofkabiven, packlina=Packlina 3, start=2025-01-30 10:54, slut=2025-01-31 01:54, kasserade=13
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0127, produkt=Aminoven, packlina=Packlina 2, start=2025-01-07 10:02, slut=2025-01-07 23:02, kasserade=119
2025-10-08 23:43:38,624 [INFO] Dumpad batch: id=B0133, produkt=Aminoven, packlina=Packlina 1, start=2025-01-05 08:24, slut=2025-01-05 21:24, kasserade=262
